date;WLA
2003-01-01;0.669776234
2003-02-01;1.496442901
2003-03-01;1.413109568
2003-04-01;0.313109568
2003-05-01;0.241442901
2003-06-01;0.088109568
2003-07-01;-0.008557099
2003-08-01;-0.056890432
2003-09-01;-0.153557099
2003-10-01;-0.113557099
2003-11-01;-0.015223765
2003-12-01;0.619220679
2004-01-01;0.541442902
2004-02-01;0.63033179
2004-03-01;0.57033179
2004-04-01;0.072554012
2004-05-01;-0.067445988
2004-06-01;-0.108557099
2004-07-01;-0.107445988
2004-08-01;-0.234112654
2004-09-01;-0.287445988
2004-10-01;-0.021890432
2004-11-01;0.039220679
2004-12-01;0.821442902
2005-01-01;0.501442901
2005-02-01;0.518109568
2005-03-01;0.458109568
2005-04-01;0.504776234
2005-05-01;-0.183557099
2005-06-01;-0.100223766
2005-07-01;-0.113557099
2005-08-01;-0.245223766
2005-09-01;-0.262723766
2005-10-01;-0.140223765
2005-11-01;0.037276234
2005-12-01;0.443942901
2006-01-01;1.186998457
2006-02-01;0.896998457
2006-03-01;0.599220679
2006-04-01;0.763665124
2006-05-01;0.434776235
2006-06-01;0.032554012
2006-07-01;-0.146334876
2006-08-01;-0.203001543
2006-09-01;-0.208557099
2006-10-01;-0.317445988
2006-11-01;-0.276334876
2006-12-01;0.368109568
2007-01-01;-0.431890432
2007-02-01;-0.105223766
2007-03-01;-0.281890432
2007-04-01;0.201442901
2007-05-01;-0.355223766
2007-06-01;-0.338557099
2007-07-01;-0.545223766
2007-08-01;-0.651890432
2007-09-01;-0.638557099
2007-10-01;-0.688557099
2007-11-01;-0.385223766
2007-12-01;0.771442901
2008-01-01;-0.211890432
2008-02-01;0.398109568
2008-03-01;0.303109568
2008-04-01;-0.201890432
2008-05-01;-0.510223765
2008-06-01;-0.660223765
2008-07-01;-0.796890432
2008-08-01;-0.843557099
2008-09-01;-0.820223766
2008-10-01;-0.418557099
2008-11-01;-0.033557099
2008-12-01;-0.291890432
2009-01-01;0.793109568
2009-02-01;1.051442901
2009-03-01;0.684776235
2009-04-01;0.272276235
2009-05-01;0.104776235
2009-06-01;-0.126890432
2009-07-01;-0.237723766
2009-08-01;-0.262723766
2009-09-01;-0.402723766
2009-10-01;-0.450223766
2009-11-01;-0.213557099
2009-12-01;-0.072723765
2010-01-01;0.453109568
2010-02-01;0.493942901
2010-03-01;0.613942901
2010-04-01;0.378942901
2010-05-01;0.784776235
2010-06-01;0.331442901
2010-07-01;-0.011890432
2010-08-01;-0.031057099
2010-09-01;0.553109568
2010-10-01;0.513109568
2010-11-01;0.770609568
2010-12-01;0.903942901
2011-01-01;1.292276235
2011-02-01;1.089776234
2011-03-01;1.012276234
2011-04-01;0.718942901
2011-05-01;0.681442901
2011-06-01;-0.155223766
2011-07-01;-0.215223766
2011-08-01;-0.403557099
2011-09-01;-0.303001543
2011-10-01;-0.30966821
2011-11-01;0.288109568
2011-12-01;0.469220679
2012-01-01;0.878109568
2012-02-01;1.013109568
2012-03-01;0.813942901
2012-04-01;0.323109568
2012-05-01;0.071442901
2012-06-01;-0.266890432
2012-07-01;-0.309390432
2012-08-01;-0.336057099
2012-09-01;-0.401890432
2012-10-01;-0.490223766
2012-11-01;-0.151890432
2012-12-01;0.355609568
2013-01-01;1.371442901
2013-02-01;1.175609568
2013-03-01;0.402276235
2013-04-01;0.703109568
2013-05-01;0.235609568
2013-06-01;0.473942901
2013-07-01;0.043109568
2013-08-01;-0.220223766
2013-09-01;-0.323557099
2013-10-01;-0.330473766
2013-11-01;-0.138557099
2013-12-01;0.212276234
2014-01-01;0.693109568
2014-02-01;0.778109568
2014-03-01;0.333942901
2014-04-01;0.267276234
2014-05-01;-0.108557099
2014-06-01;-0.186057099
2014-07-01;-0.274390432
2014-08-01;-0.399390432
2014-09-01;-0.491057099
2014-10-01;-0.486890432
2014-11-01;-0.248557099
2014-12-01;0.387276234
2015-01-01;0.501442901
2015-02-01;1.162276234
2015-03-01;-0.030223765
2015-04-01;1.114776234
2015-05-01;0.318109568
2015-06-01;-0.344390432
2015-07-01;-0.451890432
2015-08-01;-0.470223766
2015-09-01;-0.486890432
2015-10-01;-0.431057099
2015-11-01;-0.386057099
2015-12-01;0.132276235
2016-01-01;0.139776235
2016-02-01;0.919776235
2016-03-01;0.610609568
2016-04-01;0.457276234
2016-05-01;0.135609568
2016-06-01;0.531442901
2016-07-01;0.178109568
2016-08-01;0.027276234
2016-09-01;0.118942901
2016-10-01;0.760609568
2016-11-01;1.269776234
2016-12-01;0.893109568
2017-01-01;0.442276234
2017-02-01;0.815609568
2017-03-01;0.448942901
2017-04-01;0.847276234
2017-05-01;0.658942901
2017-06-01;0.402276235
2017-07-01;-0.281057099
2017-08-01;-0.396890432
2017-09-01;-0.471057099
2017-10-01;-0.367723765
2017-11-01;0.371442901
2017-12-01;1.788942901
2018-01-01;2.193942901
2018-02-01;2.001442901
2018-03-01;1.388109568
2018-04-01;1.117276234
2018-05-01;0.427276235
2018-06-01;0.321442901
2018-07-01;0.336442901
2018-08-01;0.235609568
2018-09-01;0.297276234
2018-10-01;0.184776234
2018-11-01;0.311442901
2018-12-01;0.483942901
2019-01-01;1.229776235
2019-02-01;1.246442901
2019-03-01;1.948109568
2019-04-01;1.086442901
2019-05-01;0.563942901
2019-06-01;0.256442901
2019-07-01;-0.255223766
2019-08-01;-0.290223766
2019-09-01;-0.348557099
2019-10-01;-0.463557099
2019-11-01;-0.383557099
2019-12-01;0.188109568
2020-01-01;0.462901234
2020-02-01;0.949567901
2020-03-01;1.233734568
2020-04-01;0.753942901
2020-05-01;0.401442901
2020-06-01;-0.166682099
2020-07-01;-0.292932099
2020-08-01;-0.226057099
2020-09-01;-0.263557099
2020-10-01;-0.162932099
2020-11-01;0.204567901
2020-12-01;0.883317901
2021-01-01;1.129359568
2021-02-01;1.492067901
2021-03-01;0.861859568
2021-04-01;0.709776234
2021-05-01;0.033526234
2021-06-01;0.297276234
2021-07-01;-0.068557099
2021-08-01;-0.013557099
2021-09-01;-0.127723766
2021-10-01;-0.225223766
2021-11-01;1.093942901
2021-12-01;0.659776234
2022-01-01;0.758942901
2022-02-01;0.824776234
2022-03-01;0.978109568
2022-04-01;0.570609568
2022-05-01;0.434776234
2022-06-01;0.549776234
2022-07-01;0.148942901
2022-08-01;0.134776234
2022-09-01;-0.051890432
2022-10-01;0.477276234
2022-11-01;1.091442901
2022-12-01;1.101442901
